sid_src,sid_donor,part,var_src,var_donor,c_src,c_donor,z_new,z_old,z_new_orig,z_old_orig,margin,ordering_correct,p_cf_donor,p_gt_donor,z_cf_tail_0,z_cf_tail_1,z_cf_tail_2,z_cf_tail_3,z_cf_tail_4,z_cf_tail_5,z_cf_tail_6,z_cf_tail_7,z_cf_tail_8,direction
5,18,tail,5,8,22,25,0.9963123202323914,0.0238686185330152,3.1712283998786006e-06,0.999996542930603,0.972443701699376,True,1.5750652892165817e-05,8.212534885387868e-05,7.422173542437349e-09,2.9342097640494558e-09,9.744657337995566e-13,5.391564278367511e-11,0.0064698313362896,0.0238686185330152,2.0499638253568267e-07,6.477614806499332e-05,0.9963123202323914,fwd
5,18,tail,5,8,22,25,0.000737624708563,0.8609103560447693,2.334953023819253e-05,0.9544686079025269,-0.8601727313362062,False,2.418584585939243e-07,5.433788101072423e-05,3.163424366903201e-07,2.379370471317088e-06,1.2136259783801506e-06,4.7191910823585204e-08,0.0020950622856616,0.8609103560447693,9.534320270176975e-06,6.255771586438641e-05,0.000737624708563,fwd
5,18,tail,5,8,22,25,0.9999901056289672,0.0067304763942956,0.0003207159752491,0.9999990463256836,0.9932596292346716,True,3.7037629226688296e-05,8.084112778306007e-05,1.2634460233584832e-07,7.192034079395171e-09,2.983447907126125e-13,3.081515945191349e-11,0.0040024747140705,0.0067304763942956,3.732109234988457e-07,2.607535634524538e-06,0.9999901056289672,fwd
5,18,tail,5,8,22,25,0.0480736158788204,0.9387419819831848,0.0613101087510585,0.9610276818275452,-0.8906683661043644,False,2.24284192995583e-07,9.372532804263756e-05,2.069233414658811e-05,0.0002248605742352,1.3207649089963525e-06,6.30902718512516e-07,0.0165606997907161,0.9387419819831848,0.0001157032238552,0.0001889997220132,0.0480736158788204,fwd
5,18,tail,5,8,22,25,0.93107670545578,0.0732763558626174,5.773994757873879e-07,0.999997615814209,0.8578003495931625,True,4.061862273374573e-05,6.0287311498541385e-05,3.6716416018656156e-10,1.874687516334461e-09,3.719767549537068e-12,1.5916374121460741e-12,0.0028630853630602,0.0732763558626174,1.1839506042221615e-09,3.0972175864008022e-06,0.93107670545578,fwd
18,5,tail,8,5,25,22,0.0611783005297184,0.3388945758342743,0.0042665163055062,0.8193825483322144,-0.2777162753045559,False,9.77778086053149e-07,2.8056689188815653e-05,0.0003860969154629,0.299207866191864,0.0008783458033576,0.0041470886208117,0.0007512053707614,0.0611783005297184,0.0003339692775625,0.0036158983130007,0.3388945758342743,bwd
18,5,tail,8,5,25,22,0.999018669128418,0.0103342272341251,0.0001036875692079,0.9999780654907228,0.9886844418942928,True,4.535729021881707e-05,4.381471808301285e-05,1.2419924644291316e-07,0.0061375075019896,3.494743168630521e-06,5.273654096527025e-05,3.714396370924078e-05,0.999018669128418,9.710241783977835e-07,0.0012448575580492,0.0103342272341251,bwd
18,5,tail,8,5,25,22,0.9931055903434752,0.006446102168411,0.0047505917027592,0.9543954133987428,0.9866594881750644,True,0.0001685930765233,0.0025868359953165,5.023576522944495e-05,0.0163288731127977,0.0001760985032888,0.023307766765356,0.0060831154696643,0.9931055903434752,0.00013965551625,0.0249315071851015,0.006446102168411,bwd
18,5,tail,8,5,25,22,0.925155222415924,0.0441735759377479,1.4510729897665442e-06,0.9999933242797852,0.8809816464781761,True,3.0022443752386607e-05,3.688858123496175e-05,2.6801071584259265e-08,0.00789101049304,2.117485792041407e-06,3.33021398546407e-06,7.136120075301733e-06,0.925155222415924,6.582749279004929e-08,4.8209687520284206e-05,0.0441735759377479,bwd
18,5,tail,8,5,25,22,0.9999947547912598,0.000451026164228,3.53484574588947e-06,1.0,0.9995437286270316,True,4.774326589540578e-05,4.969112342223525e-05,1.0951528572888947e-09,0.000431567110354,6.391412910033979e-08,1.3569231668952852e-05,1.6495014278916642e-06,0.9999947547912598,3.1660358779106446e-09,0.0001618225360289,0.000451026164228,bwd
